Q273_R39	Q273_R39_C1	Moving to Qatar	Vaccinations needed before i come to Doha?	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	Yes there are; though it varies depending on which country you come from. In the UK; the doctor has a list of all countries and the vaccinations needed for each. I'll imagine they have the same in the US.	U429	2009-03-17 08:10:34
Q273_R39	Q273_R39_C2	Moving to Qatar	Vaccinations needed before i come to Doha?	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	I suggest going to visit your local GP and mention that you are moving to Qatar. They should have in their system what shots you need before coming over. It is usually for hepatitis and thyfoid i think (please excuse the spelling)	U1199	2009-03-17 08:27:07
Q273_R39	Q273_R39_C4	Moving to Qatar	Vaccinations needed before i come to Doha?	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	It depends what you have had already. You don't specifically need any extra vaccinations as long as you are up to date with the usual ones you have in the UK (not sure about US) but you can have Rabies as optional if you want. Although there is no requirement or need to have any extra protection here; it is important to remember that lots of people travel East on holidays and if you do you will need the standard typhoid; yellow fever; etc. Children need to have been vaccinated against TB before they can start school. In the UK they no longer give BCG so important to get that done before you come.	U237	2009-03-17 08:32:58
Q273_R39	Q273_R39_C8	Moving to Qatar	Vaccinations needed before i come to Doha?	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	As I said; the official advice is that you don't HAVE to; however; they may offer you Rabies; Typhoid and Hep B as an option. As they no longer boost Tetanus as routine; you would have to have a booster before coming. That said; the UK has a vey hands off approach to immunisation at the moment as most diseases are sufficiently covered by herd immunity (where because the majority have been vaccinated the people who haven't are covered to a large extent) and cases are low. Personally as long as there is a low risk; I would have all the vaccinations I could; why not?	U237	2009-03-17 13:07:32
Q273_R39	Q273_R39_C10	Moving to Qatar	Vaccinations needed before i come to Doha?	I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	"""We came from here from the US and had Hep A; Typhoid; and Tdap (combined Tetanus; Diptheria; Pertussis) on top of the usual program. The Hep A was a two dose one; given six months apart. We went to our local Kelsey-Seybold clinic there and were given an international certificate of vaccination as approved by the World Health Organisation. *********** """"There's this thing called being so open-minded your brains drop out"""". - Richard Dawkins"""	U2506	2009-03-17 13:25:52
Q273_R76	Q273_R76_C1	Pets and Animals	Can I bring my pitbulls to Qatar?	I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	If they are 'banned'; as you suggest; then it obviously means that your are not allowed to bring them into Qatar.	U2	2010-06-25 22:36:29
Q273_R76	Q273_R76_C2	Pets and Animals	Can I bring my pitbulls to Qatar?	I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	"""they are definitely banned in Qatar... so as LP said; how do you want to import something which is banned? Custom is not going to let them in... frankly speaking; for me it sounds a bit nonsense """"very well behaved people friendly pitbulls"""".. as for me; these two don't come together; it's EITHER """"very well behaved people friendly"""" or """"pitbulls"""".. sorry; eh?... hope your husband won't be able to figure out my real name and address.. :)"""	U77	2010-06-25 22:46:18
Q273_R76	Q273_R76_C10	Pets and Animals	Can I bring my pitbulls to Qatar?	I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	Yes you can bring it but be careful this kind of dog is very very very dangerous. Because I have one that my friend brought it to my last year from Kuwait. You can talk to Doha Airport to be sure about that.	U5218	2010-06-26 10:14:03
Q274_R68	Q274_R68_C3	Family Life in Qatar	how cold is doha during winter?	i am just curious how cold is doha during winter?	8-10 degrees i guess?? more than the temp its the wind that makes u go crazy...	U317	2008-09-08 08:33:00
Q274_R68	Q274_R68_C6	Family Life in Qatar	how cold is doha during winter?	i am just curious how cold is doha during winter?	In 2006 it was a lovely winter. It was dark; cloudy and rained for almost every day in December. We got trapped in Doha on new years eve and were unable to get to Dukhan such was the torrential rain. It rained on and off until April and then warmed up. The coldest night was 5C but generally 7C. I remember it rained when my parents were here and that was April 2007. This last winter wasn't very cold at all; only a few days of rain and never really got below 10C at night. I love winters here; they are so cosy. On the down side; houses are not built for winter so prepare to freeze and get leaks driping everywhere. The roads don't drain very well so very wet.	U237	2008-09-08 08:41:19
