Q280_R19,Q280_R19_C4,Pets and Animals,where can i get to buy a goldfish here?,i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!,you may find different types of fish and gold fish in AQUA ART shop along salwa road just opposite of Hardees.,U5273,2009-07-07 10:11:02
Q280_R19,Q280_R19_C8,Pets and Animals,where can i get to buy a goldfish here?,i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!,The shop name is Goldenfish leading to mansoora from Najma area. The Tel no.4310304 ask for Aseela. I myself bought from them very good and very resonable price. They have acqatic plants too.,U5275,2009-07-07 11:05:41
Q280_R19,Q280_R19_C9,Pets and Animals,where can i get to buy a goldfish here?,i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!,Also try Souq Waqif..,U114,2009-07-07 11:07:42
Q280_R19,Q280_R19_C10,Pets and Animals,where can i get to buy a goldfish here?,i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!,you can go to al nasser area beside family food center you can find different kind of fish... anyway if you cannot find there just go to fish market....joke dude...,U2,2009-07-07 11:23:47
Q303_R7,Q303_R7_C2,Advice and Help,Where does your dog stay in Qatar when you re away?,Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you re out of town!! I don t know where to take him and I don t trust anyone to do that for me :-(,Call Paul Hensen. His number 487 7144 and mobile 667 5235. You can say Sam's mum recommended him (his daughter and my son in the same class at school).,U188,2007-07-20 00:24:10
Q303_R7,Q303_R7_C4,Advice and Help,Where does your dog stay in Qatar when you re away?,Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you re out of town!! I don t know where to take him and I don t trust anyone to do that for me :-(,"""Ok; I have a cat. But we take him to Pampered Pets whenever we travel. They also board dogs... The do a great job; and I know lots of people who take their animals there. If your dog is social; he can play with the other dogs each day. If not; he can stay by himself. They cater to each individual animal and know them by name. (I'm """"Rackety's owner""""-- they know him; not me!) The only catch is that they book up really far in advance. Call as far in advance as you can to book your space. Website: www.ppkdoha.com You can see photos of the place and get all the details there. They are way out of town; but will pick up your dog if you can't make it out there.""",U1606,2007-07-20 13:10:23
Q303_R7,Q303_R7_C5,Advice and Help,Where does your dog stay in Qatar when you re away?,Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you re out of town!! I don t know where to take him and I don t trust anyone to do that for me :-(,Calle Poppy - Janet from Paws and Claws. Her number is 528 6335. She might still have place. When you go away you should idealy book your dogs in early in the year; because at this time the places are almost fully booked up. X,U245,2007-07-20 13:17:00
Q308_R32,Q308_R32_C2,Doha Shopping,indian wedding outfit( Lehnga)???,hi; i am gonna get married soon so i was wondering if anyone knew where i am able to get a wedding lehnga made or brought thanks,I dont think you get good ones in Doha. Are you looking for white? mostly wedding dresses in India comes in bright colors mostly in red. You can do a Google search there are some Indian designers who take online orders. Try Dana Centre in Souq they have some heavy Lacha/Lehnga material... not sure if someone here can stich it properly.,U493,2008-07-14 09:27:33
Q332_R2,Q332_R2_C1,Doha Shopping,Where to buy Sarees in Doha,Hello everybody; I was wondering where can I buy sarees (spelling??) in Doha (the traditionnal indian ones; 100% silk with hand made embrodery: e.g. the one used for weeding) I did a search on google but couldn't find anything! I really appreciate your help Thanks DHW,There are a lot of shops in national area ; near q-tel signal. Bombay silks is one such shop where you ll get all kind of sarees....,U1855,2008-04-08 12:07:07
Q332_R2,Q332_R2_C3,Doha Shopping,Where to buy Sarees in Doha,Hello everybody; I was wondering where can I buy sarees (spelling??) in Doha (the traditionnal indian ones; 100% silk with hand made embrodery: e.g. the one used for weeding) I did a search on google but couldn't find anything! I really appreciate your help Thanks DHW,try bombay silk and other shops in that area..,U466,2008-04-08 12:09:45
